lineId,parentId,stationId,icsId,topMostParentId,direction,towards,stopType,stopLetter,id,name,lat,lon
N1,490G000957,490G000957,1019855,490G000957,inbound,Bexleyheath Or Erith,NaptanPublicBusCoachTram,D,490001001D,Harrow Manorway / Abbey Wood Station,51.490603,0.122324
N1,490G00005546,490G00005546,1005546,490G00005546,inbound,Woolwich,NaptanPublicBusCoachTram,K,490005546K,Conference Road,51.488501,0.120209
N1,490G00007459,490G00007459,1007459,490G00007459,inbound,Woolwich,NaptanPublicBusCoachTram,NA,490007459W,Greening Street,51.488106,0.117195
N1,490G00004164,490G00004164,1004164,490G00004164,inbound,Woolwich,NaptanPublicBusCoachTram,->W,490004164W,Mcleod Road / Bostall Lane,51.487479,0.113075
N1,490G00004162,490G00004162,1004162,490G00004162,inbound,Woolwich,NaptanPublicBusCoachTram,->W,490004162W,Bostall Gardens,51.487067,0.110477
N1,490G00004835,490G00004835,1004835,490G00004835,inbound,Woolwich,NaptanPublicBusCoachTram,->S,490004835S,Cassilda Road,51.48652,0.107413
N1,490G00004163,490G00004163,1004163,490G00004163,inbound,Woolwich,NaptanPublicBusCoachTram,->S,490004163S,Basildon Road / Bostall Hill,51.484868,0.106732
N1,490G00011075,490G00011075,1011075,490G00011075,inbound,Woolwich,NaptanPublicBusCoachTram,WE,490011075W1,Plumstead Corner / Rockmount Road,51.48566,0.100704
N1,490G000293,490G000293,1001969,490G000293,inbound,Woolwich,NaptanPublicBusCoachTram,WH,490011077W,Plumstead High St / the Plumstead Centre,51.486607,0.096009
N1,490G00003584,490G00003584,1003584,490G00003584,inbound,Woolwich,NaptanPublicBusCoachTram,WJ,490003584O,Bannockburn Road,51.487188,0.093198
N1,490G00008908,490G00008908,1008908,490G00008908,inbound,Woolwich,NaptanPublicBusCoachTram,WK,490008908S,Lakedale Road,51.48784,0.090448
N1,490G000959,490G000959,1019871,490G000959,inbound,Woolwich,NaptanPublicBusCoachTram,WM,490001227E,Plumstead Road / Plumstead Station,51.490364,0.083533
N1,490G00014924,490G00014924,1014924,490G00014924,inbound,"Queen Elizabeth Hosp, Charlton Or Shooters Hill",NaptanPublicBusCoachTram,WP,490014924D,Greenwich Community College,51.490898,0.080273
N1,490G00009723,490G00009723,1009723,490G00009723,inbound,"Queen Elizabeth Hosp, Charlton Or Shooters Hill",NaptanPublicBusCoachTram,->W,490009723W,Maxey Road,51.490869000000004,0.076872
N1,910GWOLWXR,910GWOLWXR,1002162,910GWOLWXR,inbound,Greenwich Or North Greenwich,NaptanPublicBusCoachTram,D,490014934W1,Woolwich Station,51.491114,0.071136
N1,490G000411,490G000411,1003917,490G000411,inbound,Greenwich Or North Greenwich,NaptanPublicBusCoachTram,U,490003917D,Beresford Sq / Woolwich Arsenal Stn,51.491932,0.068119
N1,490G00014928,490G00014928,1014928,490G00014928,inbound,Greenwich Or North Greenwich,NaptanPublicBusCoachTram,A,490014928A,Woolwich Ferry,51.493456,0.062224
N1,490G00006982,490G00006982,1006982,490G00006982,inbound,Greenwich Or North Greenwich,NaptanPublicBusCoachTram,DG,490006982DG,Kingsman Street,51.492842,0.055238
N1,490G00011247,490G00011247,1011247,490G00011247,inbound,"North Greenwich, Blackheath Or Greenwich",NaptanPublicBusCoachTram,DC,490011247DC,Prospect Vale,51.492088,0.051012
N1,490G00014247,490G00014247,1014247,490G00014247,inbound,Greenwich Or North Greenwich,NaptanPublicBusCoachTram,U,490014247W,Warspite Road,51.492395,0.046833
N1,490G00020099,490G00020099,1020099,490G00020099,inbound,Greenwich Or North Greenwich,NaptanPublicBusCoachTram,V,490014923W,Cleveley Close,51.491423,0.042267
N1,490G00013207,490G00013207,1013207,490G00013207,inbound,Greenwich Or North Greenwich,NaptanPublicBusCoachTram,W,490013207W,Greenwich Trust School,51.490259,0.039881
N1,490G00010911,490G00010911,1010911,490G00010911,inbound,Greenwich Or North Greenwich,NaptanPublicBusCoachTram,B,490015556W,Woolwich Road / Charlton Lane,51.489598,0.038065
N1,490G00012854,490G00012854,1012854,490G00012854,inbound,Greenwich Or North Greenwich,NaptanPublicBusCoachTram,D,490012854W,Stone Lake Retail Park,51.488694,0.03523
N1,490G000946,490G000946,1019754,490G000946,inbound,Greenwich Or North Greenwich,NaptanPublicBusCoachTram,F,490001058F,Charlton Station  / Woolwich Road,51.488076,0.032495
N1,490G00007093,490G00007093,1007093,490G00007093,inbound,Greenwich Or North Greenwich,NaptanPublicBusCoachTram,NA,490007093W1,Woolwich Road / Gallions Road,51.487418,0.027928
N1,490G00011704,490G00011704,1011704,490G00011704,inbound,Greenwich Or North Greenwich,NaptanPublicBusCoachTram,->W,490011704W,Woolwich Road / Victoria Way,51.487183,0.025397
N1,490G00011398,490G00011398,1011398,490G00011398,inbound,Greenwich Or North Greenwich,NaptanPublicBusCoachTram,J,490011398J,Rainton Road,51.486629,0.022578
N1,490G00006356,490G00006356,1006356,490G00006356,inbound,"North Greenwich, Deptford Or Kidbrooke",NaptanPublicBusCoachTram,D,490006356W,Kemsing Road,51.486269,0.016311
N1,490G00009685,490G00009685,1009685,490G00009685,inbound,"North Greenwich, Deptford Or Kidbrooke",NaptanPublicBusCoachTram,Q,490009685W,Marlton Street,51.486102,0.012962
N1,490G00003334,490G00003334,1003334,490G00003334,inbound,"North Greenwich, Deptford Or Kidbrooke",NaptanPublicBusCoachTram,NA,490003334W,Calvert Road,51.486144,0.011019
N1,490G00015332,490G00015332,1015332,490G00015332,inbound,Deptford Or Kidbrooke,NaptanPublicBusCoachTram,A,490007510A,Vanbrugh Hill,51.486226,0.008848
N1,490G00004081,490G00004081,1004081,490G00004081,inbound,"Blackheath Village, Deptford Or Lewisham",NaptanPublicBusCoachTram,L,490005224L,Tyler Street,51.485284,0.005595
N1,490G000663,490G000663,1009754,490G000663,inbound,"Blackheath Village, Deptford Or Lewisham",NaptanPublicBusCoachTram,G,490009754G,Trafalgar Road / Maze Hill,51.483633,1.07e-4
N1,490G00013764,490G00013764,1013764,490G00013764,inbound,"Blackheath Village, Deptford Or Lewisham",NaptanPublicBusCoachTram,T,490013764T,Trafalgar Estate,51.482926,-0.002747
N1,490G000489,490G000489,1006196,490G000489,inbound,"Blackheath Village, Deptford Or Lewisham",NaptanPublicBusCoachTram,G,490006196G,National Maritime Museum,51.481463,-0.007117
N1,490G000547,490G000547,1007507,490G000547,inbound,Surrey Quays and Central London,NaptanPublicBusCoachTram,B,490007507B,Greenwich Church Street,51.481197,-0.009981
N1,490G00010309,490G00010309,1010309,490G00010309,inbound,Surrey Quays,NaptanPublicBusCoachTram,W,490010309W,Creek Road / Norman Road,51.481363,-0.013934
N1,490G00005736,490G00005736,1005736,490G00005736,inbound,Surrey Quays,NaptanPublicBusCoachTram,G,490005736W,Creekside,51.481218,-0.018146
N1,490G00011687,490G00011687,1011687,490G00011687,inbound,Surrey Quays,NaptanPublicBusCoachTram,H,490011687H,Macmillan Students Village,51.480799,-0.022053
N1,490G00006050,490G00006050,1006050,490G00006050,inbound,Surrey Quays,NaptanPublicBusCoachTram,A,490006050A,Deptford High Street,51.481792,-0.027626
N1,490G00007585,490G00007585,1007585,490G00007585,inbound,Surrey Quays,NaptanPublicBusCoachTram,N,490007585W,Abinger Grove,51.483637,-0.031493
N1,490G00006049,490G00006049,1006049,490G00006049,inbound,Surrey Quays,NaptanPublicBusCoachTram,P,490006049N,Deptford Fire Station,51.48534,-0.034329
N1,490G00006052,490G00006052,1006052,490G00006052,inbound,Rotherhithe,NaptanPublicBusCoachTram,Q,490006052W,Deptford Park School,51.487926,-0.038439
N1,490G00003944,490G00003944,1003944,490G00003944,inbound,Rotherhithe,NaptanPublicBusCoachTram,->N,490003944N,Bestwood Street,51.489765,-0.041889
N1,490G00004655,490G00004655,1004655,490G00004655,inbound,London Bridge Or Elephant & Castle,NaptanPublicBusCoachTram,N,490004655N,Bush Road,51.491069,-0.045175
N1,490G00011722,490G00011722,1011722,490G00011722,inbound,Elephant & Castle Or Peckham,NaptanPublicBusCoachTram,Q,490011722Q,Warndon Street,51.491062,-0.049079
N1,490G00005603,490G00005603,1005603,490G00005603,inbound,Elephant & Castle Or Peckham,NaptanPublicBusCoachTram,RE,490005603W,Corbetts Lane,51.490641,-0.054038
N1,490G00009482,490G00009482,1009482,490G00009482,inbound,Elephant & Castle Or Peckham,NaptanPublicBusCoachTram,GP,490009482N,Lynton Road,51.490197,-0.059776
N1,490G00003311,490G00003311,1003311,490G00003311,inbound,Elephant & Castle Or Peckham,NaptanPublicBusCoachTram,GQ,490003311N,Anchor Street,51.491578,-0.060625
N1,490G00012353,490G00012353,1012353,490G00012353,inbound,Elephant & Castle Or Peckham,NaptanPublicBusCoachTram,PG,490012353W,Southwark Park Road / St James's Road,51.49225,-0.064874
N1,490G00011538,490G00011538,1011538,490G00011538,inbound,Elephant & Castle,NaptanPublicBusCoachTram,PH,490011538W,Reverdy Road,51.492687,-0.069523
N1,490G00003275,490G00003275,1003275,490G00003275,inbound,Elephant & Castle Or Tower Bridge,NaptanPublicBusCoachTram,U,490003275W,Alscot Road,51.493622,-0.07444
N1,490G00012367,490G00012367,1012367,490G00012367,inbound,Elephant & Castle Or Tower Bridge,NaptanPublicBusCoachTram,V,490012367W,Spa Road,51.495374,-0.077665
N1,490G00007362,490G00007362,1007362,490G00007362,inbound,Elephant & Castle,NaptanPublicBusCoachTram,J,490007362S,Grange Road / Caledonian Market,51.496403,-0.082275
N1,490G00019012,490G00019012,1019012,490G00019012,inbound,Camberwell Or Elephant & Castle,NaptanPublicBusCoachTram,BJ,490015272BJ,Bricklayer's Arms / Tower Bridge Road,51.495154,-0.083955
N1,490G00003658,490G00003658,1003658,490G00003658,inbound,Elephant & Castle,NaptanPublicBusCoachTram,BS,490003658BS,Bricklayer's Arms / New Kent Road,51.494033,-0.09024
N1,490G00011632,490G00011632,1011632,490G00011632,inbound,"Blackfriars, Waterloo Or Westminster",NaptanPublicBusCoachTram,BT,490011632BT,Rodney Place,51.494168,-0.094672
N1,490G000645,490G000645,1009298,HUBEPH,inbound,"Blackfriars, Kennington Or Waterloo",NaptanPublicBusCoachTram,N,490000073N,Elephant & Castle / New Kent Road,51.49498,-0.099233
N1,490G000642,490G000642,1009281,490G000642,inbound,Blackfriars Or Waterloo,NaptanPublicBusCoachTram,A,490009281A,Elephant & Castle / London Road,51.496135,-0.101706
N1,490G00012693,490G00012693,1012693,490G00012693,inbound,Aldwych,NaptanPublicBusCoachTram,P,490012693N1,St George's Circus,51.499668,-0.107236
N1,490G00013485,490G00013485,1013485,490G00013485,inbound,Aldwych,NaptanPublicBusCoachTram,Q,490013485N,The Old Vic,51.50129,-0.109085
N1,490G000402,490G000402,1003713,HUBWAT,inbound,"Holborn, Russell Square Or Euston",NaptanPublicBusCoachTram,K,490000254K,Waterloo Station / Tenison Way,51.504359,-0.113742
N1,490G000819,490G000819,1014271,490G000819,inbound,"Trafalgar Square, Fleet Street Or Holborn",NaptanPublicBusCoachTram,P,490014270P,Waterloo Bridge / South Bank,51.506259,-0.115004
N1,490G00008932,490G00008932,1008932,490G00008932,inbound,"Trafalgar Square, Fleet Street Or Holborn",NaptanPublicBusCoachTram,T,490008932T,Lancaster Place,51.510446,-0.118722
N1,490G00003195,490G00003195,1003195,490G00003195,inbound,Russell Square Or Tottenham Court Road,NaptanPublicBusCoachTram,F,490003191F,Aldwych / Kingsway,51.513141,-0.117948
N1,490G00112L,490G00112L,1000112,940GZZLUHBN,inbound,Holborn Circus Or Old Street,NaptanPublicBusCoachTram,P,490000112P,Holborn Station,51.516927,-0.120214
N1,490G00006203,490G00006203,1006203,490G00006203,inbound,Tottenham Court Road,NaptanPublicBusCoachTram,S,490006203RA,Drury Lane,51.516364,-0.12384
N1,490G00235Z,490G00235Z,1000235,HUBTCR,inbound,NA,NaptanPublicBusCoachTram,T,490000235N,Tottenham Court Road,51.51602,-0.12874
N1,490G00018892,490G00018892,1018892,490G00018892,outbound,Aldwych Or Holborn Circus,NaptanPublicBusCoachTram,Z,490000235Z,New Oxford Street,51.516726,-0.128466
N1,490G00010131,490G00010131,1010131,490G00010131,outbound,"Aldwych, Angel, Bank Or Old Street",NaptanPublicBusCoachTram,E,490010131WB,Museum Street,51.517577,-0.124338
N1,490G00000350,490G00000350,1000350,490G00000350,outbound,Waterloo Or Trafalgar Square,NaptanPublicBusCoachTram,M,490000112M,Kingsway / Holborn Station,51.51674,-0.11976
N1,490G00019703,490G00019703,1019703,490G00019703,outbound,Waterloo,NaptanPublicBusCoachTram,S,490019703Z,Aldwych / Drury Lane,51.512264,-0.118806
N1,490G000819,490G000819,1014271,490G000819,outbound,Elephant & Castle Or Kennington,NaptanPublicBusCoachTram,N,490014271N,Waterloo Bridge / South Bank,51.5065,-0.114922
N1,490G000401,490G000401,1003705,HUBWAT,outbound,Elephant & Castle,NaptanPublicBusCoachTram,E,490000254E,Waterloo Station   / Waterloo Road,51.503512,-0.111414
N1,490G00013485,490G00013485,1013485,490G00013485,outbound,Camberwell Or Bricklayers Arms,NaptanPublicBusCoachTram,S,490013485S1,The Old Vic,51.501338,-0.108752
N1,490G00012693,490G00012693,1012693,490G00012693,outbound,Camberwell Or Bricklayers Arms,NaptanPublicBusCoachTram,T,490012693S2,St George's Circus,51.499158,-0.106278
N1,490G000642,490G000642,1009281,490G000642,outbound,"New Cross, Peckham Or Surrey Quays",NaptanPublicBusCoachTram,E,490009281E,Elephant & Castle / London Road,51.496102,-0.101333
N1,490G000645,490G000645,1009298,HUBEPH,outbound,Surrey Quays,NaptanPublicBusCoachTram,K,490000073K,Elephant & Castle / New Kent Road,51.495076,-0.099071
N1,490G00011632,490G00011632,1011632,490G00011632,outbound,"New Cross, Peckham Or Surrey Quays",NaptanPublicBusCoachTram,BA,490011632BA,Rodney Place,51.494218,-0.094439
N1,490G00003658,490G00003658,1003658,490G00003658,outbound,Surrey Quays,NaptanPublicBusCoachTram,BC,490003658BC,Bricklayer's Arms / New Kent Road,51.494414,-0.087689
N1,490G00019012,490G00019012,1019012,490G00019012,outbound,Surrey Quays Or Tower Gateway,NaptanPublicBusCoachTram,BH,490004315BH,Bricklayer's Arms / Tower Bridge Road,51.495631,-0.08346
N1,490G00007533,490G00007533,1007533,490G00007533,outbound,Peckham Or Surrey Quays,NaptanPublicBusCoachTram,N,490007533E,Grigg's Place,51.496431,-0.080675
N1,490G00006792,490G00006792,1006792,490G00006792,outbound,Peckham Or Surrey Quays,NaptanPublicBusCoachTram,P,490006792E,Fendall Street,51.495681,-0.078243
N1,490G00012367,490G00012367,1012367,490G00012367,outbound,Peckham Or Surrey Quays,NaptanPublicBusCoachTram,Q,490012367E,Spa Road,51.49482,-0.07619
N1,490G00003275,490G00003275,1003275,490G00003275,outbound,Peckham Or Surrey Quays,NaptanPublicBusCoachTram,R,490003275E,Alscot Road,51.493684,-0.074365
N1,490G00003533,490G00003533,1003533,490G00003533,outbound,Surrey Quays,NaptanPublicBusCoachTram,NA,490003533E,Harris Academy,51.492803,-0.071118
N1,490G00012353,490G00012353,1012353,490G00012353,outbound,Surrey Quays,NaptanPublicBusCoachTram,PA,490012353E,Southwark Park Road / St James's Road,51.492371,-0.065662
N1,490G00003311,490G00003311,1003311,490G00003311,outbound,Surrey Quays,NaptanPublicBusCoachTram,PB,490003311E,Anchor Street,51.492166,-0.061392
N1,490G00009482,490G00009482,1009482,490G00009482,outbound,Surrey Quays,NaptanPublicBusCoachTram,GS,490009482S,Lynton Road,51.490568,-0.059904
N1,490G000529,490G000529,1007086,490G000529,outbound,Surrey Quays,NaptanPublicBusCoachTram,GT,490007086B,Galleywall Road / South Bermondsey Stn,51.489044,-0.058038
N1,490G000403,490G000403,1003716,490G000403,outbound,Surrey Quays,NaptanPublicBusCoachTram,RL,490003716E,Beamish House,51.48961,-0.056401
N1,490G00005603,490G00005603,1005603,490G00005603,outbound,Surrey Quays,NaptanPublicBusCoachTram,RM,490005603E,Corbetts Lane,51.490942,-0.053175
N1,490G00011722,490G00011722,1011722,490G00011722,outbound,Canada Water,NaptanPublicBusCoachTram,RN,490014228E,Warndon Street,51.491123,-0.050531
N1,490G000775,490G000775,1013042,490G000775,outbound,London Bridge Or Elephant & Castle,NaptanPublicBusCoachTram,J,490013042J,Surrey Quays Shopping Centre,51.49401,-0.046259
N1,490G00229S,490G00229S,1000229,910GSURREYQ,outbound,"Southwark Park Road, New Cross Or Lewisham",NaptanPublicBusCoachTram,L,490000229L,Surrey Quays Station,51.493421,-0.046011
N1,490G00011487,490G00011487,1011487,490G00011487,outbound,Greenwich Or Lewisham,NaptanPublicBusCoachTram,M,490000229S,Lower Road / Surrey Quays Station,51.492335,-0.045567
N1,490G00011484,490G00011484,1011484,490G00011484,outbound,Greenwich Or Lewisham,NaptanPublicBusCoachTram,T,490011484S,Lower Road / Plough Way,51.491272,-0.04387
N1,490G00003944,490G00003944,1003944,490G00003944,outbound,Greenwich Or Lewisham,NaptanPublicBusCoachTram,->S,490003944ZC,Bestwood Street,51.489539,-0.041279
N1,490G00006052,490G00006052,1006052,490G00006052,outbound,Greenwich Or Lewisham,NaptanPublicBusCoachTram,T,490006052E,Deptford Park School,51.488258,-0.038928
N1,490G00006049,490G00006049,1006049,490G00006049,outbound,Greenwich Or Lewisham,NaptanPublicBusCoachTram,V,490006049E,Deptford Fire Station,51.485058,-0.033636
N1,490G00007585,490G00007585,1007585,490G00007585,outbound,Greenwich Or Lewisham,NaptanPublicBusCoachTram,W,490007585E,Abinger Grove,51.48355,-0.031122
N1,490G00018861,490G00018861,1018861,490G00018861,outbound,Greenwich Or Lewisham,NaptanPublicBusCoachTram,NA,490018861,Sayes Court Estate,51.482133,-0.028159
N1,490G00006050,490G00006050,1006050,490G00006050,outbound,Lewisham Or North Greenwich,NaptanPublicBusCoachTram,C,490006050C,Deptford High Street,51.481244,-0.024986
N1,490G00011687,490G00011687,1011687,490G00011687,outbound,Lewisham Or North Greenwich,NaptanPublicBusCoachTram,D,490011687D,Macmillan Students Village,51.480987,-0.021483
N1,490G00005736,490G00005736,1005736,490G00005736,outbound,Lewisham Or North Greenwich,NaptanPublicBusCoachTram,Z,490005736E,Creekside,51.48141,-0.017245
N1,490G00010309,490G00010309,1010309,490G00010309,outbound,Lewisham Or North Greenwich,NaptanPublicBusCoachTram,Y,490010309E,Creek Road / Norman Road,51.481496,-0.014346
N1,490G02027A,490G02027A,1002027,HUBCUT,outbound,Lewisham Or North Greenwich,NaptanPublicBusCoachTram,A,490002027A,Greenwich Tn Ctr / Cutty Sark Stn,51.481522,-0.011119
N1,490G000489,490G000489,1006196,490G000489,outbound,"Blackheath, Charlton Or North Greenwich",NaptanPublicBusCoachTram,F,490006196F,National Maritime Museum,51.481457,-0.007319
N1,490G00013764,490G00013764,1013764,490G00013764,outbound,"Blackheath, Charlton Or North Greenwich",NaptanPublicBusCoachTram,S,490013764S,Trafalgar Estate,51.483246,-0.001984
N1,490G000663,490G000663,1009754,490G000663,outbound,"Blackheath, Charlton Or North Greenwich",NaptanPublicBusCoachTram,H,490009754K,Trafalgar Road / Maze Hill,51.48416,0.001368
N1,490G00005231,490G00005231,1005231,490G00005231,outbound,"Blackheath, Charlton Or North Greenwich",NaptanPublicBusCoachTram,K,490005231K,King William Lane,51.484867,0.003661
N1,490G00004081,490G00004081,1004081,490G00004081,outbound,"Blackheath, Charlton Or North Greenwich",NaptanPublicBusCoachTram,J,490004081J,Tyler Street,51.485534,0.006225
N1,490G00015332,490G00015332,1015332,490G00015332,outbound,Blackheath Or Woolwich,NaptanPublicBusCoachTram,D,490007510D,Vanbrugh Hill,51.486332,0.008478
N1,490G00009685,490G00009685,1009685,490G00009685,outbound,Blackheath Or Woolwich,NaptanPublicBusCoachTram,P,490009685E,Marlton Street,51.486107,0.013726
N1,490G00006356,490G00006356,1006356,490G00006356,outbound,Blackheath Or Woolwich,NaptanPublicBusCoachTram,E,490006356E,Kemsing Road,51.486388,0.01623
N1,490G00011398,490G00011398,1011398,490G00011398,outbound,Woolwich,NaptanPublicBusCoachTram,H,490011398H,Rainton Road,51.486743,0.021172
N1,490G00011704,490G00011704,1011704,490G00011704,outbound,Woolwich,NaptanPublicBusCoachTram,->E,490011704E,Woolwich Road / Victoria Way,51.487383,0.026299
N1,490G00007093,490G00007093,1007093,490G00007093,outbound,Woolwich,NaptanPublicBusCoachTram,NA,490007093E2,Woolwich Road / Gallions Road,51.487799,0.029803
N1,490G000946,490G000946,1019754,490G000946,outbound,Woolwich,NaptanPublicBusCoachTram,E,490001058E,Charlton Station / Woolwich Road,51.488368,0.032767
N1,490G00012854,490G00012854,1012854,490G00012854,outbound,Woolwich,NaptanPublicBusCoachTram,C,490012854E,Stone Lake Retail Park,51.489401,0.036486
N1,490G00010911,490G00010911,1010911,490G00010911,outbound,Woolwich,NaptanPublicBusCoachTram,A,490010911A,Woolwich Road / Charlton Lane,51.490122,0.038967
N1,490G00013207,490G00013207,1013207,490G00013207,outbound,Woolwich,NaptanPublicBusCoachTram,S,490014923E,Greenwich Trust School,51.491338,0.041456
N1,490G000208,490G000208,1000889,490G000208,outbound,Woolwich,NaptanPublicBusCoachTram,->E,490000889Z,Yateley Street,51.492214,0.043815
N1,490G00014247,490G00014247,1014247,490G00014247,outbound,Plumstead Or Queen Elizabeth Hospital,NaptanPublicBusCoachTram,T,490014247E,Warspite Road,51.492459,0.047787
N1,490G00006983,490G00006983,1006983,490G00006983,outbound,Plumstead Or Queen Elizabeth Hospital,NaptanPublicBusCoachTram,DE,490006983DE,Frances Street,51.4929,0.053929
N1,490G00006982,490G00006982,1006982,490G00006982,outbound,Plumstead Or Queen Elizabeth Hospital,NaptanPublicBusCoachTram,NA,490008802E,Kingsman Street,51.493019,0.056398
N1,490G00014928,490G00014928,1014928,490G00014928,outbound,Plumstead Or Queen Elizabeth Hospital,NaptanPublicBusCoachTram,->E,490014928E,Woolwich Ferry,51.493674,0.059021
N1,490G00011159,490G00011159,1011159,490G00011159,outbound,Plumstead Or Queen Elizabeth Hospital,NaptanPublicBusCoachTram,Y,490011159Y,John Wilson Street / Powis Street,51.492917,0.061162
N1,490G000798,490G000798,1013616,490G000798,outbound,Plumstead,NaptanPublicBusCoachTram,T,490013616T,Thomas Street / Greens End,51.490696,0.066291
N1,490G01344G,490G01344G,1001344,HUBWWA,outbound,Plumstead,NaptanPublicBusCoachTram,N,490001344N1,Woolwich Arsenal Station,51.489801,0.068109
N1,910GWOLWXR,910GWOLWXR,1002162,910GWOLWXR,outbound,Plumstead,NaptanPublicBusCoachTram,K,490014934E,Woolwich,51.491397,0.071379
N1,490G00009723,490G00009723,1009723,490G00009723,outbound,"Abbey Wood, Bexleyheath Or Thamesmead",NaptanPublicBusCoachTram,->E,490009723E,Maxey Road,51.491168,0.077232
N1,490G00011069,490G00011069,1011069,490G00011069,outbound,"Bexleyheath, Abbey Wood Or Thamesmead",NaptanPublicBusCoachTram,A,490011069A,Plumstead Bus Garage,51.491035,0.081158
N1,910GPLMS,910GPLMS,1001227,910GPLMS,outbound,Abbey Wood,NaptanPublicBusCoachTram,C,490001227M,Plumstead Station,51.489679,0.086153
N1,490G00008908,490G00008908,1008908,490G00008908,outbound,"Abbey Wood, Bexleyhth Or Erith",NaptanPublicBusCoachTram,D,490008908P,Lakedale Road,51.48805,0.090256
N1,490G00011077,490G00011077,1011077,490G00011077,outbound,Abbey Wood,NaptanPublicBusCoachTram,F,490011077E1,Plumstead High Street / Police Station,51.486893,0.095115
N1,490G00011276,490G00011276,1011276,490G00011276,outbound,Abbey Wood,NaptanPublicBusCoachTram,H,490011276E2,Purrett Road,51.486141,0.098422
N1,490G00011076,490G00011076,1011076,490G00011076,outbound,Abbey Wood,NaptanPublicBusCoachTram,K,490011075E1,Plumstead Corner / Church Manorway,51.485783,0.100854
N1,490G00004163,490G00004163,1004163,490G00004163,outbound,Thamesmead,NaptanPublicBusCoachTram,->N,490004163N,Basildon Road / Bostall Hill,51.485033,0.106567
N1,490G00004835,490G00004835,1004835,490G00004835,outbound,Abbey Wood Or Thamesmead,NaptanPublicBusCoachTram,->N,490004835N,Cassilda Road,51.486693,0.107291
N1,490G00004162,490G00004162,1004162,490G00004162,outbound,Thamesmead,NaptanPublicBusCoachTram,->E,490004162E,Bostall Gardens,51.487304,0.111295
N1,490G00004164,490G00004164,1004164,490G00004164,outbound,Thamesmead,NaptanPublicBusCoachTram,->E,490004164E,Mcleod Road / Bostall Lane,51.487823,0.11443
N1,490G00007459,490G00007459,1007459,490G00007459,outbound,Thamesmead,NaptanPublicBusCoachTram,NA,490007459E,Greening Street,51.488377,0.118115
N1,490G00005546,490G00005546,1005546,490G00005546,outbound,Thamesmead,NaptanPublicBusCoachTram,H,490005546H,Conference Road,51.488849,0.120859
N1,490G1001Z,490G1001Z,1001001,HUBABW,outbound,Plumstead Or Thamesmead,NaptanPublicBusCoachTram,C,490001001Y,Abbey Wood Station,51.49119,0.121703
